Experiment,exp_name,species,nfert,ozone,burn,soil,water,heat,Citation,Sample date,Proxy type,Soil depth,Unit,aCO2,eCO2,Description of data source,myc
JRGCE,,,lo,,n,n,y,y,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2001,NPP,N/A,g/m2,903.1,758.4,pers. comm.,am
JRGCE,,,lo,,n,n,y,y,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2004,NPP,N/A,g/m2,695.7,923.7,pers. comm.,am
JRGCE,,,lo,,n,n,y,y,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2006,NPP,N/A,g/m2,473,771.4,pers. comm.,am
JRGCE,,,hi,,n,n,y,y,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2000,NPP,N/A,g/m2,762,999,pers. comm.,am
JRGCE,,,hi,,n,n,y,y,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2001,NPP,N/A,g/m2,1357.3,916.7,pers. comm.,am
JRGCE,,,hi,,n,n,y,y,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2004,NPP,N/A,g/m2,883.8,735.1,pers. comm.,am
JRGCE,,,hi,,n,n,y,y,"Dukes et al. 2005; Shaw et al. 2002; Henry et al., JR Database",2006,NPP,N/A,g/m2,468.1,562.8,pers. comm.,am
Merritt Island,,,,,,,,,Day et al. 2013,Jun-98,fine root biomass,0-10 cm,g/m2,1400,2096,pers. comm.,ecm
Merritt Island,,,,,,,,,Day et al. 2013,Jul-98,fine root biomass,0-10 cm,g/m2,1273,1973,pers. comm.,ecm
Merritt Island,,,,,,,,,Day et al. 2013,sept. 1998,fine root biomass,0-10 cm,g/m2,1268,1182,pers. comm.,ecm
